id,name,description,component_set_id,key
2404:2580,Property 1=Default,,2404:2579,2f1f6e86a8d368e50a013d2055175df8f8da6762
2675:11996,Size=Mb,,2439:2906,7968321adecc78309eb2504ea5b31e7c885e6ee0
2675:12039,Property 1=menu,,2675:12041,5d89d17bda82a52043e66402f760c662a9635b5d
2448:7981,"State=Default, Size=Small",,2448:7968,749cd50e143e0dc281aabefbf5599e0dbf41eeab
64:1258,"State=Default, Size=Large, Style=Filled",,64:1101,03cf981e5d3e8773d3f8febefc87bcb4279032a6
2448:7142,Property 1=name,,2448:7147,cedf405e7a8e6ae7bbb7c745a68f9418610748fc
34:855,nav-arrow-down,,,b40477119f3d5fca5074022b0225d5f7d26b4d88
2448:7143,Property 1=phone,,2448:7147,c0b3241300edd84857f07a713a85e05d06609833
2448:7145,Property 1=mail-opened,,2448:7147,58cfd506aadbaa24f913adb5d24244eecb697f69
2448:7146,Property 1=city,,2448:7147,45a253b049800575984b3cc92a108256217bc974
2448:7144,Property 1=internet,,2448:7147,41d1dcf267cba6dab0bfb4da3af7abe8dd508e94
80:1528,"State=Selected, Text Side=Left",,80:1519,9dc50a21f2aade79243ed9f6d4a4109ddba1ca9e
78:1477,State=Selected,,78:1432,f35d0c5fdd7f68ddcc7d926a8808fd0c7d31a651
78:1311,check,,,c8bedb03f7ea0ee3c7e7fcb489ae9c089829f6a7
34:1255,"Size=Medium, State=Default, Content=Icons + Text, Style=Filled",,34:1219,53abf90c8d4135c7137467f149b457d3f7bf0156
34:817,arrow-left,,,8be00090a5a479e6b3c8be035580f81930b9af09
34:830,arrow-right,,,c760f3e1d24c6659a7b3bd2c43cdbf0ae3dd83f6
2531:9875,"Size=Mb, Style=Dark Mode",,2445:2374,759d3be4b3d8a7b7fe9432e5cb2e5c2e33a3dd4b
2404:2608,Property 1=White,,2404:2579,c6f8cb8b39176fb64192f24f3e5f4c8ab499d2c4
2445:2780,"State=Default, Style=Unbox",,2445:2783,454d9c9321ef241d4f9cf497e7e9fe1ebca03c10
2531:6498,"State=Hover, Style=Box",,2445:2783,1be57fc89fd81b850d1a7531f8bb29bde96b4c74
34:832,long-arrow-down-right,,,60a85ed91b4d03797ebee095a010996b12563436
130:4683,home-simple-door,,,db787fdeca58869e93b580e5687dd00aa1008d1e
2445:2485,Style=Square,,2445:2478,d5369856b6101a3ad9b2cda62862a9e66f98c318
2439:2905,Size=Desk,,2439:2906,3494f39e345765f56fd6fc62670713c02a3c98b8
2531:6496,"State=Default, Style=Box",,2445:2783,d149b1ab4dad535af739441934a8198da26d7f6e
3139:11616,Left Item=Language,,230:3882,b65ef3278eafe7fad2044273222a5db17692fe94
106:1538,"Size=Small, Type=Letter",,106:1495,8372b0ba218aa8f88f9185002a7d9a449ae5759e
2448:7969,"State=Default, Size=Big",,2448:7968,afc660e830b3f31cf866347270d795f401bcf0db
2531:9818,"Size=Desk, Style=Dark Mode",,2445:2374,268d3be98c21bd863e998f4d2f62c470967a12d4
