fills,effects,font,count
#FFFFFF,,,957
#131927,,Inter 400 16.0,417
#D2D5DB,,,417
#C2E0FB,,,315
#4A4B4B,,,245
#4E61F6,,,222
#1068B4,,,217
#FFFFFF,,Bai Jamjuree 600 16.0,161
#131927,,,157
#F9FAFB,,,153
#000000,,,138
#F3F4F6,"DROP_SHADOW r3.0 o2.0,4.0 #000000@0.2",,137
#3745AF,,Inter 600 18.0,135
GRADIENT_LINEAR(#EFEFEF>#DDDDDD),,,128
#C8CEFC,,,125
#FFFFFF~0.6,,,121
#6D717F,,Inter 600 14.0,120
#4758E0,,,114
#8ACEFF,,,108
#6D717F,,,106
#0095FF,,Inter 600 14.0,105
#9E9E9E,,,105
#43B75D,,,98
,"DROP_SHADOW r4.0 o1.0,3.0 #000000@0.1 | DROP_SHADOW r1.0 o0.3,0.5 #000000@0.1",,95
#131927,,Bai Jamjuree 600 16.0,90
#131927,,Inter 500 16.0,88
GRADIENT_LINEAR(#FFFFFF@0.7>#FFFFFF@0.45>#FFFFFF@0.55),,,83
#FFFFFF,,Bai Jamjuree 600 18.0,81
#131927,,Inter 600 14.0,80
#EE443F,,Inter 500 16.0,78
GRADIENT_LINEAR(#FFFFFF@0.6>#FFFFFF@0.3),,,72
GRADIENT_LINEAR(#FFFFFF@0.6>#FFFFFF@0.0>#FFFFFF@0.3),,,72
#FFFFFF,,Inter 400 16.0,71
#EDEFFE,,,69
#131927,,Bai Jamjuree 600 24.0,68
#9EA2AE,,Inter 400 14.0,66
#6D717F,,Inter 400 14.0,66
GRADIENT_RADIAL(#62D1EA>#62D1EA@0.89>#62D1EA@0.58>#62D1EA@0.33>#62D1EA@0.15>#62D1EA@0.04>#62D1EA@0.0),,,60
#131927,,Inter 400 14.0,55
#E6F4FF,,,55
#9EA2AE,,,55
#4E61F6,,Inter 600 16.0,54
#9EA2AE,,Inter 400 16.0,52
#3745AF,,Bai Jamjuree 600 28.0,52
#FFFFFF,,Inter 600 16.0,46
#6D717F,,Inter 600 16.0,45
#8BCEFF~0.5,,,45
#8ACEFF,,Inter 500 6.0,45
#FFFFFF,,Inter 600 14.0,43
#6D717F,,Bai Jamjuree 600 18.0,43
#F3F4F6,,,43
#056BF1,,,42
#FFFFFF,,Inter 400 14.0,41
#3C3A3F,,,40
#E5E7EA,,,40
#000000,,Instrument Sans 400 16.0,39
#D9D9D9,,,39
,"DROP_SHADOW r4.0 o0.0,4.0 #000000@0.25",,38
#FFFFFF~0.7,,,38
#3745AF,,,36
#000000,,Inter 400 14.0,36
#3E3E3E,,Helvetica 400 16.0,35
#FFFFFF,"DROP_SHADOW r0.0 o0.0,0.0 s3.0 #AEB6FB",,33
GRADIENT_RADIAL(#000000@0.25>#000000@0.0),,,32
#FFFFFF,,Font Awesome 5 Free 900 16.0,32
#0328BA~0.1,,,32
GRADIENT_LINEAR(#D9D9D9@0.25>#0A0A0A@0.2),TEXTURE r1.58 | BACKGROUND_BLUR r6.3,,32
#FFFFFF~0.01,"INNER_SHADOW r7.88 o0.0,0.0 s4.73 #FFFFFF",,32
#FFFFFF~0.002,TEXTURE r1.58 | BACKGROUND_BLUR r22.06,,32
#FFFFFF~0.01,"INNER_SHADOW r4.73 o0.0,0.0 s2.52 #FFFFFF | LAYER_BLUR r0.95",,32
#FFFFFF~0.002,TEXTURE r1.58 | BACKGROUND_BLUR r25.21,,32
#FFFFFF~0.01,"INNER_SHADOW r1.58 o0.0,0.0 s0.63 #FFFFFF | LAYER_BLUR r0.63",,32
#FFFFFF~0.002,TEXTURE r1.58 | BACKGROUND_BLUR r6.3,,32
,LAYER_BLUR r0.63,,32
#FFFFFF,LAYER_BLUR r3.0,,32
#FFFFFF~0.8,LAYER_BLUR r2.0,,32
