page,node_id,node_name,path,trigger,action,destination_id,navigation,transition_type,duration_ms,easing,direction,variable_id,variable_expr
🔵 UI_Phase 1,2753:5408,Heading Display,Contact/Contact/Container/Heading Display,(legacy),NAVIGATE,2448:7983,,,1500.0,EASE_OUT,,,
🔵 UI_Phase 1,2753:5408,Heading Display,Contact/Contact/Container/Heading Display,AFTER_TIMEOUT(500.0ms),NODE,2448:7983,CHANGE_TO,SMART_ANIMATE,1500.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:10434,Button,Contact/Contact/Section 1/Frame 2147224779/Contact/Submit Container/Button,(legacy),NAVIGATE,36:194,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:10434,Button,Contact/Contact/Section 1/Frame 2147224779/Contact/Submit Container/Button,ON_HOVER,NODE,36:194,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:10434,Button,Contact/Contact/Section 1/Frame 2147224779/Contact/Submit Container/Button,ON_CLICK,NODE,2675:5991,NAVIGATE,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2753:5424;2531:9882,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2753:5424;2531:9882,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2753:5424;2531:9883,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2753:5424;2531:9883,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2753:5424;2531:9884,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2753:5424;2531:9884,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2753:5424;2531:9885,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2531:6500,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2753:5424;2531:9885,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,ON_CLICK,NODE,2531:6500,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2753:5424;2531:10029,Back Button,Contact/Contact/Footer Desk/Frame 2087326390/Back Button,(legacy),NAVIGATE,2445:2488,,,100.0,LINEAR,,,
🔵 UI_Phase 1,I2753:5424;2531:10029,Back Button,Contact/Contact/Footer Desk/Frame 2087326390/Back Button,ON_HOVER,NODE,2445:2488,CHANGE_TO,SMART_ANIMATE,100.0,LINEAR,,,
🔵 UI_Phase 1,I2753:5424;2531:10029,Back Button,Contact/Contact/Footer Desk/Frame 2087326390/Back Button,ON_CLICK,NODE,2753:5407,SCROLL_TO,SCROLL_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2448:7643;2445:2787,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2448:7643;2445:2787,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2448:7643;2445:2794,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2448:7643;2445:2794,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2448:7643;2445:2801,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2448:7643;2445:2801,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2448:7643;2531:6521,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2531:6498,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2448:7643;2531:6521,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2531:6498,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2448:7988,Heading Display,Contact/Contact/Container/Heading Display,(legacy),NAVIGATE,2448:7971,,,1500.0,EASE_OUT,,,
🔵 UI_Phase 1,2448:7988,Heading Display,Contact/Contact/Container/Heading Display,AFTER_TIMEOUT(500.0ms),NODE,2448:7971,CHANGE_TO,SMART_ANIMATE,1500.0,EASE_OUT,,,
🔵 UI_Phase 1,2448:7799,Button,Contact/Contact/Section 1/Frame 2147224779/Contact/Submit Container/Button,(legacy),NAVIGATE,36:194,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2448:7799,Button,Contact/Contact/Section 1/Frame 2147224779/Contact/Submit Container/Button,ON_HOVER,NODE,36:194,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2448:7799,Button,Contact/Contact/Section 1/Frame 2147224779/Contact/Submit Container/Button,ON_CLICK,NODE,2675:5991,NAVIGATE,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2531:10175;2531:9826,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2531:10175;2531:9826,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2531:10175;2531:9827,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2531:10175;2531:9827,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2531:10175;2531:9828,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2531:10175;2531:9828,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2531:10175;2531:9829,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2531:6498,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2531:10175;2531:9829,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2531:6498,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2531:10175;2531:10059,Back Button,Contact/Contact/Footer Desk/Frame 1527/Back Button,(legacy),NAVIGATE,2445:2488,,,100.0,LINEAR,,,
🔵 UI_Phase 1,I2531:10175;2531:10059,Back Button,Contact/Contact/Footer Desk/Frame 1527/Back Button,ON_HOVER,NODE,2445:2488,CHANGE_TO,SMART_ANIMATE,100.0,LINEAR,,,
🔵 UI_Phase 1,I2531:10175;2531:10059,Back Button,Contact/Contact/Footer Desk/Frame 1527/Back Button,ON_CLICK,NODE,2448:7963,SCROLL_TO,SCROLL_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:10468,Button,Contact/Contact/Submit Container/Button,(legacy),NAVIGATE,36:194,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:10468,Button,Contact/Contact/Submit Container/Button,ON_HOVER,NODE,36:194,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:10468,Button,Contact/Contact/Submit Container/Button,ON_CLICK,NODE,2675:5991,NAVIGATE,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2849:4337;2445:2808,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2849:4337;2445:2808,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2849:4337;2445:2811,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2849:4337;2445:2811,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2849:4337;2445:2814,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2849:4337;2445:2814,Button of Nav Heading,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
