id,name,style_type,description
2404:2572,Brand Color/Brand Color-1,FILL,
2404:2573,Brand Color/Brand Color-2,FILL,
2445:2624,B & W/White/40%,FILL,
8:25,Desktop Text/H1,TEXT,
8:26,Desktop Text/H2,TEXT,
8:27,Desktop Text/H3,TEXT,
8:28,Desktop Text/H4,TEXT,
8:29,Desktop Text/H5,TEXT,
8:37,Desktop Text/S2. Subtitle,TEXT,
8:38,Desktop Text/B3. Body,TEXT,
8:41,Desktop Text/B1. Body,TEXT,
8:45,Desktop Text/S1. Subtitle,TEXT,
8:117,Desktop Text/C1. Caption,TEXT,
8:121,Desktop Text/C2. Caption,TEXT,
8:132,Desktop Text/LABEL,TEXT,
23:1024,Button Font/Giant,TEXT,
25:2445,Black/100%,FILL,
25:2446,Black/90%,FILL,
25:2447,Black/80%,FILL,
25:2448,Black/70%,FILL,
25:2449,Black/60%,FILL,
25:2450,Black/50%,FILL,
25:2451,Black/40%,FILL,
25:2452,Black/30%,FILL,
25:2453,Black/20%,FILL,
25:2454,Black/10%,FILL,
25:2455,White/100%,FILL,
25:2456,White/90%,FILL,
25:2457,White/80%,FILL,
25:2458,White/70%,FILL,
25:2459,White/60%,FILL,
25:2460,White/50%,FILL,
25:2461,White/40%,FILL,
25:2462,White/30%,FILL,
25:2463,White/20%,FILL,
25:2464,White/10%,FILL,
26:2479,Grey/900,FILL,
26:2480,Grey/800,FILL,
26:2481,Grey/700,FILL,
26:2482,Grey/600,FILL,
26:2483,Grey/500,FILL,
26:2484,Grey/400,FILL,
26:2485,Grey/300,FILL,
26:2486,Grey/200,FILL,
26:2487,Grey/100,FILL,
26:2488,Grey/50,FILL,
27:2631,Desktop Text/B2. Body,TEXT,
27:2638,Desktop Text/B4. Body,TEXT,
33:126,Button Font/Large,TEXT,
33:133,Button Font/Medium,TEXT,
33:146,Button Font/Small,TEXT,
33:147,Button Font/Super Tiny,TEXT,
116:1516,Desktop Text/C3. Caption,TEXT,
118:1906,Glass Effect/100,EFFECT,
118:1907,Drop Shadow Effect/200,EFFECT,
118:1908,Drop Shadow Effect/300,EFFECT,
118:1909,Drop Shadow Effect/400,EFFECT,
118:1910,Drop Shadow Effect/500,EFFECT,
118:1911,Drop Shadow Effect/600,EFFECT,
118:1912,Drop Shadow Effect/700,EFFECT,
118:1913,Drop Shadow Effect/800,EFFECT,
2433:2667,Mobile 4,GRID,
2436:2578,Tablet,GRID,
2436:2579,Desk,GRID,
2436:2624,Desk FHD,GRID,
2445:2297,Grad/Blue grad 1,FILL,
2445:2300,Grad/Blue L Grad 1,FILL,
2496:2363,Drop Shadow Effect/Ds 1,EFFECT,
2497:8091,Grad/Glass W 1,FILL,
2497:8092,Grad/Glass W 2,FILL,
2531:6520,Desktop Text/S3. Subtitle,TEXT,
2531:6630,Grad/Glass W 3,FILL,
2531:7814,Grad/Blue Grad 1,FILL,
2531:7853,Blur/Layer Blur 1,EFFECT,
2531:9197,Mobile 2,GRID,
2531:9198,Mobile 6,GRID,
2633:5687,Drop Shadow Effect/DS Outer,EFFECT,
2633:5971,Drop Shadow Effect/Ds 2,EFFECT,
2669:10930,Grad/Grey Grad,FILL,
2675:4596,Button Font/Tiny,TEXT,
2675:4824,Blur/Back Blur,EFFECT,
2675:6203,Grad/Blue Grad2,FILL,
2844:5989,Mobile Text/H1 MB,TEXT,
2844:5990,Mobile Text/H5 MB,TEXT,
2844:5991,Mobile Text/H4 MB,TEXT,
2844:5992,Mobile Text/H3 MB,TEXT,
