page,node_id,path,characters,font_family,font_weight,font_size,color
🖼️ Cover,2753:5399,Cover/Frame 1556/Wiinvent Ad,Wiinvent Ad,Bai Jamjuree,500,48.0,#003F6B
🔵 UI_Phase 1,I2753:5408;2448:7982,Contact/Contact/Container/Heading Display/Sample text,LIÊN HỆ & HỖ TRỢ,Bai Jamjuree,600,32.0,#FFFFFF
🔵 UI_Phase 1,2753:5411,Contact/Contact/Section 1/Company Name,Công ty TNHH Một thành viên Công nghệ và Thương mại Wiinvent,Bai Jamjuree,600,24.0,#153C88
🔵 UI_Phase 1,2753:5414,Contact/Contact/Section 1/Frame 2147224779/Contact/Immediate Contact,Liên hệ ngay,Bai Jamjuree,600,32.0,#17A5FE
🔵 UI_Phase 1,I3139:5752;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Họ & tên,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:5752;2448:6770,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:5752;64:1264,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập họ & tên của bạn,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I3139:5752;64:1267,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:5753;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Số điện thoại,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:5753;2448:6770,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:5753;64:1264,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập số điện thoại của bạn,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I3139:5753;64:1267,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:5754;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Email công ty,Inter,500,16.0,#131927
